
> kids-painting-frontend@1.0.0 dev
> vite

[33mThe CJS build of Vite's Node API is deprecated. See https://vite.dev/guide/troubleshooting.html#vite-cjs-node-api-deprecated for more details.[39m

  VITE v5.4.20  ready in 2286 ms

  ➜  Local:   http://localhost:3000/
  ➜  Network: use --host to expose
8:29:43 PM [vite] hmr update /src/pages/PaintingPage.tsx
8:29:43 PM [vite] hmr update /src/App.tsx
8:49:04 PM [vite] hmr update /src/pages/CategoryPage.tsx
8:49:23 PM [vite] hmr update /src/pages/CategoryPage.tsx
8:53:33 PM [vite] page reload src/locales/en/translation.json
8:53:58 PM [vite] page reload src/locales/es/translation.json
8:56:14 PM [vite] hmr update /src/pages/CategoryPage.tsx
8:56:25 PM [vite] hmr update /src/pages/PaintingPage.tsx
8:56:46 PM [vite] hmr update /src/pages/PaintingPage.tsx
8:57:04 PM [vite] hmr update /src/pages/PaintingPage.tsx
8:58:07 PM [vite] hmr update /src/pages/PaintingPage.tsx
8:58:07 PM [vite] hmr update /src/pages/CategoryPage.tsx
8:59:13 PM [vite] hmr update /src/pages/CategoryPage.tsx
9:00:38 PM [vite] hmr update /src/pages/CategoryPage.tsx
9:45:12 PM [vite] page reload src/locales/en/translation.json
9:45:51 PM [vite] page reload src/locales/es/translation.json
9:46:02 PM [vite] hmr update /src/pages/CategoryPage.tsx
9:46:19 PM [vite] hmr update /src/pages/CategoryPage.tsx
9:48:54 PM [vite] hmr update /src/pages/CategoryPage.tsx
9:48:54 PM [vite] page reload src/locales/en/translation.json
9:48:54 PM [vite] page reload src/locales/es/translation.json
10:27:02 PM [vite] page reload src/locales/en/translation.json
10:27:10 PM [vite] page reload src/locales/es/translation.json
10:27:27 PM [vite] page reload src/locales/en/translation.json
10:27:40 PM [vite] page reload src/locales/es/translation.json
10:28:22 PM [vite] hmr update /src/pages/HomePage.tsx
10:28:35 PM [vite] hmr update /src/pages/CategoriesPage.tsx
10:31:18 PM [vite] page reload src/locales/en/translation.json
10:31:18 PM [vite] hmr update /src/pages/HomePage.tsx
10:31:18 PM [vite] page reload src/locales/es/translation.json
10:31:18 PM [vite] hmr update /src/pages/CategoriesPage.tsx
11:17:37 PM [vite] hmr update /src/pages/CategoryPage.tsx
11:17:37 PM [vite] hmr update /src/components/Breadcrumbs.tsx
11:17:37 PM [vite] hmr update /src/components/PaintingCard.tsx
11:17:38 PM [vite] hmr update /src/components/ErrorBoundary.tsx
11:17:39 PM [vite] hmr update /src/components/SearchBar.tsx
11:17:39 PM [vite] hmr update /src/components/Footer.tsx
11:17:39 PM [vite] hmr update /src/components/InteractiveColoring.tsx
11:17:39 PM [vite] hmr update /src/pages/LetterSitemapPage.tsx
11:17:39 PM [vite] hmr update /src/pages/SitemapPage.tsx
11:17:40 PM [vite] page reload src/utils/coloringTips.ts
11:17:40 PM [vite] hmr update /src/App.tsx
11:17:40 PM [vite] hmr update /src/pages/CollectionPage.tsx
11:17:40 PM [vite] hmr update /src/pages/CollectionsIndexPage.tsx
11:17:40 PM [vite] hmr update /src/pages/PaintingPage.tsx
11:17:41 PM [vite] hmr update /src/pages/CategoryPage.tsx
11:17:41 PM [vite] page reload src/locales/en/translation.json
11:17:41 PM [vite] page reload src/locales/es/translation.json
11:17:41 PM [vite] hmr update /src/pages/HomePage.tsx
11:17:41 PM [vite] hmr update /src/pages/CategoriesPage.tsx
7:47:32 AM [vite] page reload index.html
7:49:14 AM [vite] page reload index.html
7:44:25 PM [vite] page reload src/locales/en/translation.json
7:44:44 PM [vite] page reload src/locales/es/translation.json
7:45:00 PM [vite] hmr update /src/pages/HomePage.tsx
7:45:20 PM [vite] hmr update /src/pages/CategoriesPage.tsx
7:45:22 PM [vite] hmr update /src/pages/BlogPage.tsx
7:48:20 PM [vite] page reload src/locales/en/translation.json
7:48:20 PM [vite] hmr update /src/pages/HomePage.tsx
7:48:20 PM [vite] hmr update /src/pages/BlogPage.tsx
7:48:20 PM [vite] hmr update /src/pages/CategoriesPage.tsx
7:48:20 PM [vite] page reload src/locales/es/translation.json
10:35:18 AM [vite] page reload src/locales/en/translation.json
10:35:23 AM [vite] page reload src/locales/es/translation.json
10:35:36 AM [vite] page reload src/locales/en/translation.json
10:35:37 AM [vite] page reload src/locales/es/translation.json
10:35:37 AM [vite] page reload src/locales/es/translation.json
10:35:38 AM [vite] hmr update /src/pages/CopyrightPage.tsx
10:35:38 AM [vite] hmr update /src/pages/CopyrightPage.tsx
10:36:10 AM [vite] page reload src/locales/en/translation.json
10:36:14 AM [vite] page reload src/locales/en/translation.json
10:36:21 AM [vite] page reload src/locales/en/translation.json
10:36:22 AM [vite] page reload src/locales/en/translation.json
10:36:40 AM [vite] page reload src/locales/es/translation.json
10:36:56 AM [vite] page reload src/locales/es/translation.json
10:36:57 AM [vite] page reload src/locales/es/translation.json
10:39:33 AM [vite] hmr update /src/pages/CopyrightPage.tsx
10:39:43 AM [vite] hmr update /src/pages/CopyrightPage.tsx
10:43:37 AM [vite] page reload src/locales/en/translation.json
10:43:37 AM [vite] page reload src/locales/es/translation.json
10:43:37 AM [vite] hmr update /src/pages/CopyrightPage.tsx
5:43:58 PM [vite] page reload src/locales/en/translation.json
5:44:37 PM [vite] page reload src/locales/es/translation.json
5:44:48 PM [vite] hmr update /src/pages/CategoriesPage.tsx
